id,uuid,exercise_base,image
96,61905f52-3169-4624-b9d4-7aaaa36403ea,215,https://wger.de/media/exercise-images/11/Rear-deltoid-row-1.png
106,cb9267bb-f561-49a2-94ad-fa4adebf1e27,537,https://wger.de/media/exercise-images/16/Incline-press-2.png
108,752caaf6-ec3d-4075-a4b3-65ec5b1922c8,539,https://wger.de/media/exercise-images/61/Close-grip-bench-press-2.png
112,3e255a5f-b058-4a09-b0b0-70044285528a,135,https://wger.de/media/exercise-images/98/Butterfly-machine-1.png
114,3c765b1e-eab9-4b61-8e2e-7d7591cb6ccb,75,https://wger.de/media/exercise-images/97/Dumbbell-bench-press-2.png
116,5e6aa692-cb40-45f5-a17c-b368c3bd2d3f,185,https://wger.de/media/exercise-images/100/Decline-bench-press-2.png
118,335a43dc-313b-40fd-a1a7-6dabdd419c6b,305,https://wger.de/media/exercise-images/163/Incline-bench-press-2.png
120,52c61306-43c0-4f1e-bf03-13074c152dd8,237,https://wger.de/media/exercise-images/122/Incline-cable-flyes-2.png
122,52c4434e-b5a2-4fce-af61-d997b510438a,206,https://wger.de/media/exercise-images/113/Walking-lunges-2.png
123,3d311933-e073-409b-92d3-41f3d75e8c94,206,https://wger.de/media/exercise-images/113/Walking-lunges-3.png
124,c0dff0d5-618d-4739-94f9-7d3cd76bc8a1,206,https://wger.de/media/exercise-images/113/Walking-lunges-4.png
126,0dab623c-75f1-45a6-ba24-d80d42e5d284,375,https://wger.de/media/exercise-images/130/Narrow-stance-hack-squats-2-1024x721.png
128,8fb4de34-d4df-435a-bf59-14410ebda230,323,https://wger.de/media/exercise-images/71/Cable-crossover-1.png
130,dc2cf50c-6452-4a8f-91e2-6114fcc425ff,538,https://wger.de/media/exercise-images/41/Incline-bench-press-2.png
136,081d1f56-c664-4493-9846-b6d6613e0ef7,171,https://wger.de/media/exercise-images/56/Decline-crunch-2.png
138,b0423bf3-779a-4af6-8eee-4387cb4641ee,67,https://wger.de/media/exercise-images/34/Leg-raises-1.png
140,7cd81b4a-15f1-464d-96db-c2f01152fb04,377,https://wger.de/media/exercise-images/125/Leg-raises-1.png
144,9d5d511e-d0a1-45e7-b656-07b0b86541d4,394,https://wger.de/media/exercise-images/143/Cable-seated-rows-1.png
