폰모델 제목,가격,등록시간,내용
갤럭시노트20 21년6월개통 최저가판매,400000,2시간 전,"갤럭시노트20 최저가 판매합니다.
최초통신사 kt개통일 21년6월 입니다.
as기간 많이 남아있습니다.
모든기능 정상입니다.
외관 사진과 깨끗합니다.
번인아주 살짝  있습니다.
구매시 충전기 하나 드립니다.
 직거래 택배거래 가능합니다.
"
갤럭시노트20울트라 삼성센터 수리후 미사용 리퍼폰 최저가,610000,2시간 전,"갤럭시노트20울트라 판매합니다.
개통 2020년 8월입니다.
선택약정 가능합니다.
삼성 센터에서 수리후 미사용품인데 보관중 
떨어져서 사진과 같이 찍힘 발생했습니다.
모든 기능 정상 센터에서 점검완료된 폰입니다.
센터판 리퍼폰 저렴하게 쓰실분들 강추합니다.
직거래 택배 가능해요."
갤럭시노트20 최저가판매,380000,2시간 전,"갤럭시노트20 최저가 판매합니다.
최초통신사 lg개통일 20년8월 입니다.
모든기능 정상입니다.
선택약정 가능합니다.
외관 사진과 작은찍힘 생활기스 있습니다.
번인아주 살짝  있습니다.
구매시 충전기 하나 드립니다.
 직거래 택배거래 가능합니다.
"
갤럭시노트9 강력추천S급 128g 천안노트9 서울노트9 부산노트9,199000,2시간 전,"• 갤럭시노트9 128g 브라운 2555 판매합니다( 4g lte 선불유심 알뜰유심 전부 그대로 사용 가능합니다)

• 제 모든 휴대폰 사진은 실사입니다 

• 외관보시면 상태는 전체적으로 깔끔합니다 테두리 사진보시면 큰찍힘없고 전체적으로 깔끔합니다 액정은 깨짐없고 생활기스 살짝 있지만 필름 깔끔하게 붙혀드리겠습니다^^ 뒷판은 깨짐없고 깔끔합니다 흰화면 보시면 잔상없고 깨끗합니다 참고하세요 —>중고폰 특성상 미세한 생활기스 있을수 있습니다 (사진에서 꼭 확인해주세요^^) 

• 배터리 양호합니다 

• 정상해지 공기계이고 3사 전부 유심만 꽂으면 사용가능하며 25% 약정할인 가능합니다 

• 최초통신사는 kt이고 최초개통일은 2018년 10월입니다

• 터치,소리,지문,카메라 등 모든 기능 검사 “이상무”입니다

• 구성품은 기기+필름+케이스 새것 입니다

• 중고폰은 단순변심에 의한 환불 및 교환이 불가하므로 신중한 거래 부탁드립니다

• 허위매물을 올리지 않습니다 한대한대 일일이 찍어서 올리고 있습니다 보시는 제품 그대로 배송됩니다

• 문의가 많은 관계로 애눌, 흥정, 교신, 교환 정중히 사양합니다 답변하지않겠습니다


안산직거래
전지역택배가능(오후 5시 이전 주문건 당일출고됩니다 , 우체국택배는 따로 문의 해주세요^^)
OlO . 5o34 . 24l3"
갤럭시A52S 128기가 퍼플 A급 판매합니다)부산중고폰 4211,300000,2시간 전,"★★제품설명 

 보시는 기종은 SK/LG/KT 3사 모두 유심만꽂아서 사용 바로가능한 제품입니다

★★【중고폰은 쓰시던 유심칩만 끼우시면 바로사용 가능합니다】

 ★★제품설명  (보시는 기종은 SK/LG/KT 3사 모두 유심만꽂아서 사용 바로가능한 제품입니다)

★★ 기 종 : 갤럭시A52S 

★★ 용 량 : 128G

★★ 색 상 : 퍼플

★★ 최초통신사 : KT
  
★★ 등급 : ★ A 급 입니다  (사진참고).★

★★ 단말기 상태 : ★ 뒷판 기스 있습니다 (사진참고)★

★★구성품 : 휴대폰 단품입니다

★★ 가격 : 300,000

★★ 전체기능 : 모든기능정상작동(철저한 기능검수 완료!!)

★ SS급 : 신품과같은상태(기스X찍힘X)
★  S급: 약한생활기스만있는상태입니다
★  A급: 약간의찍힘 생활기스 있는상태입니다
★  B급: 잔상,멍, 심한찍힘 액정칼기스등의상태입니다.

★ 번호 : 0  1  0 - 7  9  2  0 - 9  8  0  1 

※필독해주세요※

※구입 후 단순변심으로 인한 교환 및 환불은 불가합니다.
  (단, 기능상 이상이 있을 경우 7일이내 교환 및 환불 해드립니다.)
※모든 상품은 입고시 1차검수 출고시 2차검수 후 에 나갑니다
※당사는 중고폰 도,소매 전문으로 재고가 없을 시 가장 빠른 수급이 
  가능합니다. 찾으시는 기종이 없으실 경우 편하게 문의해주세요.
※근거리는 가능한 매장으로 오셔서 직접 기기를 확인하시고 
    구입하시는 것을 추천드립니다.
※ 분실/도난/침수폰은 절대 판매 및 취급 하지 않습니다.
※ 물건 받으시고 내용과 틀릴 경우 무조건 반품 받습니다.

▶▶수령방법◀◀
◈택배거래 : 16:30분 이전 입금 시 당일 발송
◈ 배송은 다음날 받아보실 수 있도록 최대한 빨리 배송해드리겠습니다.
◈ 퀵 서비스 가능.
◈  부산 범일역 2번출구 부근"
A+급 갤럭시노트20 5G 256G 블랙 (649),410000,2시간 전,"안녕하세요 LL모바일 입니다! 
좋은상품과 친절한 서비스로 보답하겠습니다.
LL모바일 프로필 누르시고 상품 누르시면 
올려놓은상품 전~~부 보입니다^_^!!!


●모델 : 갤럭시노트20 5G 256G
●통신 : (3사호환가능)
●색상 : 블랙
●기능 : 이상없음
●상태 : A+급
●가격 : 41만원
●구성 : 기기단품

▶ 해당제품은 정상해지 공기계 입니다
▶ 모든 기능 / 침수 이상없는 제품입니다 
▶핸드폰 구입시 기존핸드폰 고가 ㅁㅐ입합니다


▶LL모바일 후기EVENT 진행중◀
후기를 작성해주시면 
이 모든 사은품을 만원에 챙겨드립니다
(강화필름/케이스/케이블/어답터/그립톡/유심핀/무선충전기/보조배터리)

▶아이폰구매자에 한해서 보호필름 할인중◀
   추가로 결제시 저렴한 가격에 액정보호필름 드립니다.
   풀커버필름 : 3,000원
   프라이버시필름 : 5,000원 

▶거래방법
 ▷직거래 :  분당 서현역매장 
                 (자세한 위치는 번개채팅으로 문의부탁드립니다)


 ▷택배거래 : 배송비3천원
                 ※ 09:00 ~ 15:00 결제완료 택배건은 당일 출고 !!
                 그외 : 지하철퀵 / 오토바이퀵 본인부담으로 가능 !!

 ▷예약거래 : 예약을 원하시는분께서는 판매가의 20% 선입금완료시(구입시 예약금을 제외한 차액만 결제)
                 다른 구매희망자에게 판매가 보류됩니다.
                 (단,예약후 구매안할시 예약금은 환불안됩니다)



▶SK,KT,LGU+<최신폰,무료폰,전기종 상담가능>◀
  새핸드폰 최저가 상담 및 즉시개통 업무 가능합니다!

  내가 쓰던 요금 그대로! 최신폰으로 변경!
  우리 가족 결합할인도 그대로!
  데이터 복원 및 백업(어플,연락처,카카오톡,인증서 등)
  쓰던폰 안에 모든 데이터 그대로 새폰으로 옮겨드립니다!
  쓰던 폰은 최고가로 매입해드립니다!


※교환반품※
  단순 변심에 의한 반품 요청은 제품 인수일 이내에만 가능하며 
  왕복 택배비 6.000원 부담하셔야 합니다.
  (단순변심 환불시 판매가 20% 제외 됩니다!!)


★기기 불량에 의한 교환 및 환불 의사는 반드시 제품 인수일 포함 7일 이내에 요청하셔야 
당사에서 처리 가능합니다.(고지안한 기능이상이 있을경우에만 해당)
이후 발생하는 건에 대해서는 해당 제조사 서비스센터 및 수리점 방문 하셔야 합니다.★"
2017갤럭시A5 A520 SK 스카이블루 32GB 8만 50076 /수,80000,2시간 전,"1.제품 > 2017갤럭시A5 A520 SK 스카이블루 32GB 8만
2.제품번호 >> 50076 (구매시 꼭 제품번호 말씀해주세요)
3.통신사 > SK (정상해지,호환가능,25%요금할인)
4.가격 > 8만
5.특이사항 > 외관(사진첨부)/기능문제(없음)/20170721개통
5.거래방법 > 택배거래-구매자부담/기능문제없음/안전거래가능
               > 직거래((수원역 ,수원시청)) 
6.연락처 >  ***-****-****/***-****-****"
갤럭시노트20 울트라 SS급 256GB 화이트 14762,600000,2시간 전,"상품번호: 14762
★상품문의 O1O-8061-8026
♣상점에서 판매중인 모든제품은 기능불량 없는 정상제품입니다(검수완료) ♣ 

○기기단품 
○외관등급 : SS급(새폰급)
○잔상: 무잔상
○용량 : 256GB
○색상 : 화이트
○최초통신사 : LGU+
○최초통화일 : 20.10.15
○25%선택약정가능 / 공기계
----------------------------------------------------
●제품설명●
기기상태는 사진과 동일합니다
외관등급 SS급 , 무잔상 기기입니다
SKT / KT / LGU+ 상관없이 모든 통신사 사용 가능
5G, 4G 유심, 알뜰유심,선불유심 전부 사용가능
‐---------------------------------------------------
☆상품문의 O1O-8061-8026

◎모든 제품은 구매시 소독하여 발송합니다
◎거래방식
직거래:인천 주안역
택배거래:평일 16:00이전 입금확인시 당일발송"
갤럭시S20플러스 256GB 판매합니다,360000,2시간 전,"- 모델명 : 갤럭시S20플러스
- 용량(기가수) :256
- 색상 : 화이트
#통신호환 : SKT , KT , LG U+ , 선불폰 , 알뜰폰 모든 유심 가능합니다 (20%선택약정할인 및 확정기변가능) 

#정상해지여부 : O

#거래방식 : 직거래/택배거래/퀵거래

#직거래가능지역 : 서울강서,양천구/부천전지역/인천계양,부평

●터치,카메라,소리,기능 점검 완료 이상 없습니다!

●중고 휴대폰 특성상 미세한 실기스는 있을수 있습니다 새폰같은 중고폰이지 새폰 아닙니다

●구성품은 기기단품 입니다

●택배거래는 CJ대한통운과 우체국택배로 오후5시30까지 입금해주시면 당일 수거전 발송되어 제주도외 전국 어디든지 다음날 수령 가능하십니다~"
[1183] 무잔상)갤럭시Z폴드2 256기가 블랙,760000,2시간 전,"상품번호 [1183]
문의주실때 상품번호 말씀해주세요~

도난,분실 이력없습니다.
선택약정 가능.25%요금할인 가능 단말기.

이전통신사 KT단말기입니다.
통신사 구분없이 3사(SKT.KT.LG)호환가능 모델입니다.

구성품없이 기기단품입니다.
사제 충전기 챙겨드립니다~!!
기능정상.액정깨끗.잔상 무.
외관은 실사사진 참조.상태굿~!!

최초통화일: 2020.09.23

*직거래 장소는 수원,군포,의왕에서 가능하세요.

*쿨거래시 택배비 무료배송입니다~!
*배터리는 소모품이라 보증이 아니예요~!
*상세내용에 고지하지 않은 불량있을시 7일이내 반품 및 교환 가능하세요~!

가격은 76만원입니다.
네고x x x 

***-****-****"
갤럭시노트9 외관S급 판매합니다.,160000,2시간 전,"외관 아주 깨끗합니다
액정 생활기스 살짝있고 잔상도 조금 있습니다 사진참고
18년8월에 개통했습니다 기기단품입니다
lg였고 3사호환됩니다 정상해지 했습니다
필요하신분 연락주세요~ 128기가입니다

직거래는 신월사거리나 화곡역에서 가능합니다~
택배거래시 택배비3천원 추가됩니다"
